Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
ZEB2	Zinc Finger E-Box Binding Homeobox 2	Protein Coding	O60315	61	GC02M144384	4.89375305175781	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB2
SMAD3	SMAD Family Member 3	Protein Coding	P84022	66	GC15P067063	4.78447341918945	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3
PVT1	Pvt1 Oncogene	RNA Gene		34	GC08P128246	4.76464748382568	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1
TUG1	Taurine Up-Regulated 1	Protein Coding	A0A6I8PU40	33	GC22P030969	4.58519268035889	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1
YAP1	Yes1 Associated Transcriptional Regulator	Protein Coding	P46937	61	GC11P102110	4.36322689056396	https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1
ESRP1	Epithelial Splicing Regulatory Protein 1	Protein Coding	Q6NXG1	50	GC08P094641	4.34692621231079	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP1
SLC39A6	Solute Carrier Family 39 Member 6	Protein Coding	Q13433	53	GC18M036108	4.31447982788086	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A6
NOTCH1	Notch Receptor 1	Protein Coding	P46531	65	GC09M138976	4.2812294960022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1
TMX2-CTNND1	TMX2-CTNND1 Readthrough (NMD Candidate)	RNA Gene		26	GC11P057712	4.18647289276123	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1
RHOA	Ras Homolog Family Member A	Protein Coding	P61586	62	GC03M049359	4.09164142608643	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA
CD44	CD44 Molecule (IN Blood Group)	Protein Coding	P16070	61	GC11P035139	4.08846664428711	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
XIST	X Inactive Specific Transcript	RNA Gene		32	GC0XM073820	4.08262157440186	https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST
GSK3B	Glycogen Synthase Kinase 3 Beta	Protein Coding	P49841	63	GC03M119821	4.01787996292114	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
GAS5	Growth Arrest Specific 5	RNA Gene		32	GC01M173947	3.92030954360962	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5
MIR21	MicroRNA 21	RNA Gene		33	GC17P134223	3.9055118560791	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
SMAD2	SMAD Family Member 2	Protein Coding	Q15796	65	GC18M047809	3.86098146438599	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2
TGFBR2	Transforming Growth Factor Beta Receptor 2	Protein Coding	P37173	65	GC03P030623	3.80669927597046	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2
MIR200B	MicroRNA 200b	RNA Gene		30	GC01P001167	3.7857711315155	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B
NFKB1	Nuclear Factor Kappa B Subunit 1	Protein Coding	P19838	66	GC04P102501	3.78119325637817	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
SLC25A25-AS1	SLC25A25 Antisense RNA 1	RNA Gene		22	GC09M131002	3.743159532547	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A25-AS1
TGFBR1	Transforming Growth Factor Beta Receptor 1	Protein Coding	P36897	66	GC09P103929	3.71366143226624	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1
PTEN	Phosphatase And Tensin Homolog	Protein Coding	P60484	65	GC10P116113	3.67716097831726	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
PARD6A	Par-6 Family Cell Polarity Regulator Alpha	Protein Coding	Q9NPB6	49	GC16P105898	3.67330980300903	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD6A
FGFR1	Fibroblast Growth Factor Receptor 1	Protein Coding	P11362	68	GC08M038400	3.64562606811523	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1
DANCR	Differentiation Antagonizing Non-Protein Coding RNA	RNA Gene	P0C864	31	GC04P052712	3.62312817573547	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DANCR
MIR34A	MicroRNA 34a	RNA Gene		31	GC01M019769	3.58133506774902	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A
CERNA3	Competing Endogenous LncRNA 3 For MiR-645	RNA Gene		21	GC08P056381	3.56868743896484	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3
PDPN	Podoplanin	Protein Coding	Q86YL7	54	GC01P013583	3.49069213867188	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPN
MIR203A	MicroRNA 203a	RNA Gene		28	GC14P118123	3.44723463058472	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A
IL6	Interleukin 6	Protein Coding	P05231	63	GC07P022725	3.4217791557312	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
MMP9	Matrix Metallopeptidase 9	Protein Coding	P14780	66	GC20P046008	3.42011594772339	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
CDH2	Cadherin 2	Protein Coding	P19022	63	GC18M036283	3.41092610359192	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2
EGF	Epidermal Growth Factor	Protein Coding	P01133	64	GC04P109912	3.40401268005371	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
TP53	Tumor Protein P53	Protein Coding	P04637	66	GC17M007661	3.40141248703003	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
MIR200A	MicroRNA 200a	RNA Gene		29	GC01P059855	3.38982152938843	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A
MIR373	MicroRNA 373	RNA Gene		29	GC19P133648	3.36298871040344	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR373
DAB2IP	DAB2 Interacting Protein	Protein Coding	Q5VWQ8	51	GC09P146168	3.32251381874084	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2IP
SMAD4	SMAD Family Member 4	Protein Coding	Q13485	66	GC18P051028	3.24963426589966	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4
CYTOR	Cytoskeleton Regulator RNA	RNA Gene		30	GC02P089642	3.21903800964355	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTOR
DICER1	Dicer 1, Ribonuclease III	Protein Coding	Q9UPY3	61	GC14M095086	3.19811534881592	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
SLC39A10	Solute Carrier Family 39 Member 10	Protein Coding	Q9ULF5	51	GC02P195575	3.19290232658386	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A10
HMGA2	High Mobility Group AT-Hook 2	Protein Coding	P52926	58	GC12P065824	3.16474294662476	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA2
CCAT1	Colon Cancer Associated Transcript 1	RNA Gene		22	GC08M127207	3.15560245513916	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1
HOTTIP	HOXA Distal Transcript Antisense RNA	RNA Gene		30	GC07P027198	3.14895296096802	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP
CEMIP	Cell Migration Inducing Hyaluronidase 1	Protein Coding	Q8WUJ3	48	GC15P080779	3.10011863708496	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEMIP
MALAT1	Metastasis Associated Lung Adenocarcinoma Transcript 1	RNA Gene		33	GC11P098972	3.08991527557373	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1
ILK	Integrin Linked Kinase	Protein Coding	Q13418	58	GC11P014351	3.07897186279297	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILK
MIRLET7C	MicroRNA Let-7c	RNA Gene		31	GC21P019897	3.05046129226685	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C
SRC	SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase	Protein Coding	P12931	63	GC20P037344	3.04124903678894	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
LINC-ROR	Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming	RNA Gene		25	GC18M057054	3.0040340423584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR
MIR34C	MicroRNA 34c	RNA Gene		30	GC11P112711	2.98472380638123	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C
MTOR	Mechanistic Target Of Rapamycin Kinase	Protein Coding	P42345	68	GC01M011106	2.95362281799316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
MIR145	MicroRNA 145	RNA Gene		32	GC05P149430	2.94289970397949	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145
SMARCA4	SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4	Protein Coding	P51532	64	GC19P132300	2.91770315170288	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4
CD28	CD28 Molecule	Protein Coding	P10747	59	GC02P203706	2.86185908317566	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28
TBXT	T-Box Transcription Factor T	Protein Coding	O15178	57	GC06M166158	2.85692167282104	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBXT
PGR-AS1	PGR Antisense RNA 1	RNA Gene		19	GC11P101136	2.85481595993042	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR-AS1
MYC	MYC Proto-Oncogene, BHLH Transcription Factor	Protein Coding	P01106	65	GC08P127735	2.83896732330322	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
MAPK1	Mitogen-Activated Protein Kinase 1	Protein Coding	P28482	65	GC22M021759	2.83597612380981	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
RAC1	Rac Family Small GTPase 1	Protein Coding	P63000	62	GC07P015409	2.82532525062561	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1
SLC22A2	Solute Carrier Family 22 Member 2	Protein Coding	O15244	55	GC06M160222	2.82364058494568	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A2
SOD2-OT1	SOD2 Overlapping Transcript 1	RNA Gene		20	GC06M159772	2.80726790428162	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1
SNHG6	Small Nucleolar RNA Host Gene 6	RNA Gene		26	GC08M066921	2.79819226264954	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG6
BAP1	BRCA1 Associated Deubiquitinase 1	Protein Coding	Q92560	59	GC03M052401	2.77667546272278	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1
TGFB2	Transforming Growth Factor Beta 2	Protein Coding	P61812	64	GC01P218345	2.76750898361206	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2
SNHG1	Small Nucleolar RNA Host Gene 1	RNA Gene		29	GC11M132691	2.76662826538086	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG1
OVOL2	Ovo Like Zinc Finger 2	Protein Coding	Q9BRP0	45	GC20M017956	2.73902177810669	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVOL2
FOXM1	Forkhead Box M1	Protein Coding	Q08050	56	GC12M002857	2.73494243621826	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1
XBP1	X-Box Binding Protein 1	Protein Coding	P17861	59	GC22M028794	2.7283148765564	https://www.genecards.org/cgi-bin/carddisp.pl?gene=XBP1
LINC01705	Long Intergenic Non-Protein Coding RNA 1705	RNA Gene		15	GC01M221822	2.71593618392944	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01705
TRA-TGC7-1	TRNA-Ala (Anticodon TGC) 7-1	RNA Gene		16	GC06M100125	2.71148276329041	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1
FOXC1	Forkhead Box C1	Protein Coding	Q12948	55	GC06P001711	2.70297193527222	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXC1
CD274	CD274 Molecule	Protein Coding	Q9NZQ7	58	GC09P005450	2.69900465011597	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274
CCN2	Cellular Communication Network Factor 2	Protein Coding	P29279	58	GC06M131948	2.67669892311096	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2
PWAR1	Prader Willi/Angelman Region RNA 1	RNA Gene		23	GC15P025135	2.66652321815491	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1
CXCL8	C-X-C Motif Chemokine Ligand 8	Protein Coding	P10145	56	GC04P073740	2.6448655128479	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
EZH2	Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit	Protein Coding	Q15910	66	GC07M148807	2.64124393463135	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
TNS4	Tensin 4	Protein Coding	Q8IZW8	50	GC17M040475	2.63966536521912	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS4
SMAD7	SMAD Family Member 7	Protein Coding	O15105	56	GC18M048919	2.63938331604004	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD7
HULC	Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA	RNA Gene		29	GC06P008703	2.62808680534363	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC
LCK	LCK Proto-Oncogene, Src Family Tyrosine Kinase	Protein Coding	P06239	64	GC01P032251	2.59640502929688	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK
MIR655	MicroRNA 655	RNA Gene		20	GC14P119085	2.58880162239075	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR655
SNHG16	Small Nucleolar RNA Host Gene 16	RNA Gene		27	GC17P134648	2.57712364196777	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG16
MIR451A	MicroRNA 451a	RNA Gene		26	GC17M028861	2.57127332687378	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A
RCCD1	RCC1 Domain Containing 1	Protein Coding	A6NED2	44	GC15P090954	2.55127549171448	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCCD1
SMURF1	SMAD Specific E3 Ubiquitin Protein Ligase 1	Protein Coding	Q9HCE7	55	GC07M099027	2.54951548576355	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF1
MIR125A	MicroRNA 125a	RNA Gene		30	GC19P133539	2.54081678390503	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A
PTK2	Protein Tyrosine Kinase 2	Protein Coding	Q05397	61	GC08M140657	2.52402210235596	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2
MIR215	MicroRNA 215	RNA Gene		27	GC01M220117	2.52255201339722	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR215
LINC01672	Long Intergenic Non-Protein Coding RNA 1672	RNA Gene		19	GC01P060062	2.51794528961182	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672
MMP2	Matrix Metallopeptidase 2	Protein Coding	P08253	66	GC16P105536	2.50975656509399	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
MIR141	MicroRNA 141	RNA Gene		30	GC12P046793	2.50961446762085	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141
SNHG7	Small Nucleolar RNA Host Gene 7	RNA Gene		30	GC09M138985	2.49822115898132	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG7
MIR146B	MicroRNA 146b	RNA Gene		30	GC10P102436	2.4889554977417	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B
GLI1	GLI Family Zinc Finger 1	Protein Coding	P08151	61	GC12P065433	2.48047709465027	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI1
MIR205	MicroRNA 205	RNA Gene		29	GC01P209432	2.47571420669556	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205
ESRP2	Epithelial Splicing Regulatory Protein 2	Protein Coding	Q9H6T0	45	GC16M068229	2.46055865287781	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP2
SOX4	SRY-Box Transcription Factor 4	Protein Coding	Q06945	55	GC06P021593	2.45724272727966	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX4
HOTAIR	HOX Transcript Antisense RNA	RNA Gene		31	GC12M053962	2.45647621154785	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR
PIK3CA	Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha	Protein Coding	P42336	65	GC03P179148	2.45236158370972	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
BDNF-AS	BDNF Antisense RNA	RNA Gene		31	GC11P027466	2.43693017959595	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
SIRT1	Sirtuin 1	Protein Coding	Q96EB6	62	GC10P067884	2.42845368385315	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
MTDH	Metadherin	Protein Coding	Q86UE4	51	GC08P097644	2.41348528862	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTDH
MIR204	MicroRNA 204	RNA Gene		31	GC09M070809	2.41348528862	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204
MIR320A	MicroRNA 320a	RNA Gene		30	GC08M022379	2.40788793563843	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A
ZEB2-AS1	ZEB2 Antisense RNA 1	RNA Gene		27	GC02P149189	2.40134048461914	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB2-AS1
PIK3CG	Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma	Protein Coding	P48736	62	GC07P106865	2.39720821380615	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
MIR98	MicroRNA 98	RNA Gene		27	GC0XM053894	2.39685249328613	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR98
MIR211	MicroRNA 211	RNA Gene		30	GC15M031065	2.38146233558655	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR211
MIR379	MicroRNA 379	RNA Gene		26	GC14P119064	2.36199283599854	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR379
ERBB2	Erb-B2 Receptor Tyrosine Kinase 2	Protein Coding	P04626	68	GC17P039687	2.35004472732544	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
HOXA11-AS	HOXA11 Antisense RNA	RNA Gene		29	GC07P027184	2.35004472732544	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA11-AS
PIK3R1	Phosphoinositide-3-Kinase Regulatory Subunit 1	Protein Coding	P27986	65	GC05P068215	2.34796261787415	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
MIR193A	MicroRNA 193a	RNA Gene		29	GC17P031559	2.33221697807312	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR193A
CXCR4	C-X-C Motif Chemokine Receptor 4	Protein Coding	P61073	65	GC02M136114	2.3285984992981	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4
ESR1	Estrogen Receptor 1	Protein Coding	P03372	66	GC06P151656	2.32615232467651	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
PRKCZ	Protein Kinase C Zeta	Protein Coding	Q05513	61	GC01P059904	2.32258653640747	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ
PARD3	Par-3 Family Cell Polarity Regulator	Protein Coding	Q8TEW0	54	GC10M036416	2.31026387214661	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD3
BANCR	BRAF-Activated Non-Protein Coding RNA	RNA Gene		22	GC09M069296	2.30672311782837	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR
BMP7	Bone Morphogenetic Protein 7	Protein Coding	P18075	60	GC20M057168	2.30264735221863	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7
VEGFA	Vascular Endothelial Growth Factor A	Protein Coding	P15692	61	GC06P043770	2.29487609863281	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
HDAC1	Histone Deacetylase 1	Protein Coding	Q13547	63	GC01P032292	2.2787344455719	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
BRAF	B-Raf Proto-Oncogene, Serine/Threonine Kinase	Protein Coding	P15056	66	GC07M140783	2.27629590034485	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF
MIR155	MicroRNA 155	RNA Gene		30	GC21P025573	2.24412393569946	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155
MIR101-1	MicroRNA 101-1	RNA Gene		28	GC01M065058	2.23689222335815	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR101-1
AKT2	AKT Serine/Threonine Kinase 2	Protein Coding	P31751	66	GC19M040230	2.23317885398865	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2
MIR22	MicroRNA 22	RNA Gene		31	GC17M001713	2.23069643974304	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22
MIR429	MicroRNA 429	RNA Gene		30	GC01P059856	2.23016905784607	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR429
NNT-AS1	NNT Antisense RNA 1	RNA Gene		24	GC05M045037	2.22339391708374	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNT-AS1
SLC22A1	Solute Carrier Family 22 Member 1	Protein Coding	O15245	55	GC06P160121	2.22296261787415	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A1
MOSPD1	Motile Sperm Domain Containing 1	Protein Coding	Q9UJG1	40	GC0XM134887	2.22209072113037	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOSPD1
RELA	RELA Proto-Oncogene, NF-KB Subunit	Protein Coding	Q04206	64	GC11M065653	2.21434783935547	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
KRAS	KRAS Proto-Oncogene, GTPase	Protein Coding	P01116	66	GC12M033285	2.20274472236633	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
MIR195	MicroRNA 195	RNA Gene		28	GC17M088262	2.20274472236633	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195
CASC2	Cancer Susceptibility 2	RNA Gene	Q8IU53	34	GC10P119457	2.19603967666626	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2
MMP1	Matrix Metallopeptidase 1	Protein Coding	P03956	62	GC11M133503	2.1827712059021	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
KDM1A	Lysine Demethylase 1A	Protein Coding	O60341	61	GC01P023019	2.17634677886963	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM1A
SNORD15A	Small Nucleolar RNA, C/D Box 15A	RNA Gene		25	GC11P075400	2.17634677886963	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A
HSPA5	Heat Shock Protein Family A (Hsp70) Member 5	Protein Coding	P11021	61	GC09M125234	2.17480182647705	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5
CASC15	Cancer Susceptibility 15	RNA Gene		27	GC06P021689	2.17107176780701	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC15
MIR18A	MicroRNA 18a	RNA Gene		27	GC13P091719	2.1671667098999	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A
MIR133B	MicroRNA 133b	RNA Gene		31	GC06P052148	2.16524004936218	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR133B
BMP6	Bone Morphogenetic Protein 6	Protein Coding	P22004	56	GC06P007726	2.15833473205566	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
SOX2	SRY-Box Transcription Factor 2	Protein Coding	P48431	58	GC03P181711	2.15189981460571	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2
MIR494	MicroRNA 494	RNA Gene		26	GC14P119078	2.14835834503174	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR494
CAV1	Caveolin 1	Protein Coding	Q03135	61	GC07P116524	2.14541935920715	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1
MIR543	MicroRNA 543	RNA Gene		20	GC14P118095	2.13889265060425	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR543
